caseid,task,start_timestamp,end_timestamp,resource
6,O_SENT,2022-07-06 02:18:36.041,2022-07-06 03:43:08.337,SYSTEM
8,O_SELECTED,2022-07-06 03:21:40.065,2022-07-06 03:46:40.909,SYSTEM
13,A_SUBMITTED,2022-07-06 03:37:48.965,2022-07-06 03:49:20.182,SYSTEM
6,W_Call_after_offer,2022-07-06 03:43:08.337,2022-07-06 03:59:02.495,SYSTEM
10,A_FINALIZED,2022-07-06 02:29:47.528,2022-07-06 03:59:30.744,SYSTEM
8,O_CREATED,2022-07-06 03:46:40.909,2022-07-06 04:00:03.452,SYSTEM
9,O_SENT,2022-07-06 03:00:30.112,2022-07-06 04:03:12.484,SYSTEM
7,W_Assess_application,2022-07-06 03:41:51.205,2022-07-06 04:05:41.863,SYSTEM
7,W_Call_missing_information,2022-07-06 04:05:41.863,2022-07-06 04:08:14.254,SYSTEM
9,W_Call_after_offer,2022-07-06 04:03:12.484,2022-07-06 04:09:27.818,SYSTEM
10,O_SELECTED,2022-07-06 03:59:30.744,2022-07-06 04:14:13.925,SYSTEM
9,O_SENT_BACK,2022-07-06 04:09:27.818,2022-07-06 04:17:32.472,SYSTEM
9,W_Assess_application,2022-07-06 04:17:32.472,2022-07-06 04:19:25.759,SYSTEM
6,O_SENT_BACK,2022-07-06 03:59:02.495,2022-07-06 04:20:16.928,SYSTEM
14,Start,2022-07-06 04:29:39.356,2022-07-06 04:29:39.356,SYSTEM
7,O_ACCEPTED,2022-07-06 04:08:14.254,2022-07-06 04:32:41.667,SYSTEM
14,A_SUBMITTED,2022-07-06 04:29:39.356,2022-07-06 04:40:24.786,SYSTEM
12,A_SUBMITTED,2022-07-06 02:51:47.728,2022-07-06 04:40:49.264,SYSTEM
12,A_PARTLYSUBMITTED,2022-07-06 04:40:49.264,2022-07-06 04:44:20.362,SYSTEM
11,A_FINALIZED,2022-07-06 02:59:23.726,2022-07-06 04:45:39.557,SYSTEM
10,O_CREATED,2022-07-06 04:14:13.925,2022-07-06 04:45:52.123,SYSTEM
